lgacode21,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1999_hhds_with_indig_persons,1500_1999_other_hhds,1500_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_more_hhds_with_indig_persons,3000_more_other_hhds,3000_more_total_hhds
65010,0,13,13,0,26,26,7,54,57,11,225,242,5,92,98,12,185,202,15,188,199,14,181,193,20,174,197,34,239,276,24,216,234,23,178,196,36,261,289
65210,0,12,15,0,26,25,5,63,61,5,129,134,5,86,94,9,123,136,11,90,98,10,85,95,7,77,80,13,101,112,3,57,59,0,39,39,11,49,58
65410,0,30,31,11,99,109,12,201,211,48,586,631,43,335,375,61,497,559,48,394,445,53,404,454,44,396,442,81,518,603,62,458,516,35,307,338,70,513,589
65610,3,10,13,4,44,46,5,102,104,17,229,246,10,116,124,20,140,163,20,120,136,11,125,132,16,101,120,20,154,174,19,133,153,14,62,75,29,141,162
65810,0,54,53,0,98,103,9,234,244,12,743,752,17,465,480,16,772,791,32,736,767,27,720,748,27,769,805,29,1078,1106,43,999,1048,27,632,664,64,1361,1417
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70200,19,23,45,60,43,106,74,66,145,104,188,287,77,156,234,98,186,284,129,251,376,151,375,527,124,463,595,173,810,989,162,968,1127,111,626,736,300,2168,2457
70420,11,3,11,42,7,47,32,8,43,57,23,77,34,13,50,61,30,88,89,23,109,78,42,128,80,49,129,96,103,201,52,118,173,37,51,88,62,143,209
70540,0,0,0,4,0,4,3,0,3,6,0,6,3,0,3,6,0,6,4,0,4,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0
70620,8,0,8,40,0,39,10,4,18,58,5,62,32,3,34,59,5,64,61,5,67,41,15,54,45,21,65,56,45,102,29,45,72,7,17,26,7,32,29
70700,0,0,3,6,3,14,9,13,18,8,37,53,0,9,14,9,29,43,6,24,36,7,16,25,9,27,32,8,33,41,11,26,40,6,11,16,6,26,30
71000,17,82,103,63,192,252,129,402,531,146,731,878,126,564,697,158,782,940,180,979,1159,150,1335,1485,191,1562,1749,276,2971,3240,297,3544,3840,216,2060,2277,661,7486,8144
71150,0,0,0,0,0,0,0,0,0,0,6,6,0,5,5,0,4,4,0,0,0,0,12,12,0,9,9,0,25,27,0,39,41,0,10,10,0,38,40
71300,33,3,34,50,0,52,32,3,37,72,0,75,47,6,50,89,5,96,97,6,97,108,15,122,101,26,123,178,41,221,97,58,153,51,17,72,75,58,131
72200,3,9,8,19,7,32,31,27,54,61,54,118,32,40,72,39,61,101,60,64,125,56,104,160,59,123,179,68,216,285,64,302,363,58,187,250,117,608,722
72300,0,33,28,11,43,56,8,67,79,14,161,177,7,124,138,18,175,201,30,233,263,34,288,322,37,305,345,60,516,581,64,553,625,60,420,477,245,1775,2028
72330,10,0,9,44,4,44,28,6,34,77,0,85,57,3,58,83,8,87,93,3,97,74,21,99,72,30,101,88,47,138,43,55,92,28,11,42,18,38,64
72800,9,23,32,34,58,89,87,162,256,109,249,361,63,210,269,75,270,348,83,341,426,135,565,701,119,613,731,193,1252,1443,237,1495,1729,172,1016,1189,465,2790,3253
73600,6,5,15,45,6,50,21,12,27,58,17,75,40,16,53,84,12,97,74,14,92,90,14,110,91,30,125,123,46,165,61,60,123,46,29,76,35,68,98
74050,59,0,59,60,6,61,18,0,18,70,0,70,31,0,31,49,0,49,44,4,50,40,4,46,40,10,40,27,13,40,14,19,34,4,10,15,11,20,31
74550,4,4,9,18,3,18,19,7,23,29,20,49,17,7,21,32,14,47,43,12,59,30,15,44,32,13,43,33,21,55,29,34,58,16,13,36,19,37,60
74560,0,4,4,0,3,5,3,4,7,0,11,13,0,10,7,0,12,17,0,5,7,0,12,14,0,11,9,0,16,17,0,13,12,0,9,3,3,23,26
74660,9,0,9,23,0,28,8,0,12,29,4,34,28,0,33,69,9,75,66,15,83,97,20,121,87,29,113,118,63,183,79,70,149,29,30,59,38,95,132
74680,30,0,30,50,4,50,20,0,20,47,0,45,24,0,24,29,0,27,27,0,27,31,0,31,11,7,17,29,7,38,16,17,28,7,7,14,13,23,38
79399,0,14,14,3,9,11,5,19,25,3,65,68,10,30,38,31,62,93,28,89,108,30,134,162,17,110,127,27,192,224,31,213,243,22,128,148,71,518,581
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89399,28,589,612,76,1123,1198,80,2111,2195,172,4848,5022,129,3692,3818,164,5028,5190,157,5894,6055,221,7928,8147,280,9758,10036,507,18992,19494,536,21720,22261,410,12686,13098,1535,59732,61264
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99399,0,9,10,0,17,12,4,28,34,4,79,81,0,57,57,0,74,73,8,83,92,7,79,83,3,79,81,5,124,125,3,81,86,0,52,52,4,88,87
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
