lgacode21,1_149_hhds_with_indig_persons,1_149_other_hhds,1_149_total_hhds,150_299_hhds_with_indig_persons,150_299_other_hhds,150_299_total_hhds,300_399_hhds_with_indig_persons,300_399_other_hhds,300_399_total_hhds,400_499_hhds_with_indig_persons,400_499_other_hhds,400_499_total_hhds,500_649_hhds_with_indig_persons,500_649_other_hhds,500_649_total_hhds,650_799_hhds_with_indig_persons,650_799_other_hhds,650_799_total_hhds,800_999_hhds_with_indig_persons,800_999_other_hhds,800_999_total_hhds,1000_1249_hhds_with_indig_persons,1000_1249_other_hhds,1000_1249_total_hhds,1250_1499_hhds_with_indig_persons,1250_1499_other_hhds,1250_1499_total_hhds,1500_1999_hhds_with_indig_persons,1500_1999_other_hhds,1500_1999_total_hhds,2000_2499_hhds_with_indig_persons,2000_2499_other_hhds,2000_2499_total_hhds,2500_2999_hhds_with_indig_persons,2500_2999_other_hhds,2500_2999_total_hhds,3000_more_hhds_with_indig_persons,3000_more_other_hhds,3000_more_total_hhds
54970,0,0,0,10,0,12,8,0,13,9,6,19,6,0,5,19,0,19,10,5,16,4,4,10,5,3,5,5,10,22,6,8,16,3,6,10,0,24,23
55040,0,0,0,3,4,3,5,5,4,0,8,11,0,8,8,8,10,13,3,7,12,6,14,22,4,20,23,0,34,41,5,42,43,4,12,20,6,59,71
55110,3,246,249,22,497,513,26,970,993,52,2680,2732,76,2082,2163,77,2881,2960,82,2510,2595,91,2493,2590,74,2241,2315,126,3033,3160,121,3072,3188,73,1807,1882,159,5220,5384
55180,0,32,30,3,79,85,5,95,99,4,284,296,12,184,195,15,267,283,9,278,291,20,282,306,14,242,255,16,370,389,15,319,338,5,198,204,18,333,351
55250,0,0,0,9,0,7,12,5,15,4,7,21,3,4,11,11,8,20,9,10,11,16,6,23,8,7,17,17,14,33,7,27,36,3,4,7,4,22,26
55320,8,323,328,14,470,477,11,718,735,30,1921,1951,20,1434,1456,28,1774,1804,11,1841,1852,28,2167,2200,21,2184,2204,41,3437,3476,34,3687,3724,41,2404,2447,133,12287,12420
55390,0,0,0,0,0,0,4,0,4,6,3,9,0,4,3,3,0,6,0,4,4,5,0,5,4,8,11,0,0,8,0,6,6,0,0,0,0,6,10
55460,0,5,5,6,17,21,7,30,31,4,86,90,5,48,57,7,78,87,8,71,77,11,81,90,3,93,95,6,128,127,0,123,125,3,57,67,8,147,161
55530,0,0,0,0,0,0,0,4,4,0,11,13,0,4,4,0,6,6,3,7,10,0,16,14,0,7,7,0,16,19,5,20,18,0,4,4,0,19,19
55600,0,0,0,5,7,17,0,15,13,9,53,63,3,30,35,7,55,66,9,41,54,13,46,60,4,49,55,12,81,94,3,83,84,3,50,60,5,109,126
